"","BLOWING SAND, SOIL, DIRT","BLOWING SNOW","CLEAR","CLOUDY","FOGGY","OTHER","RAINING","SEVERE WINDS","SLEET","SNOW","UNKNOWN","WINTRY MIX"
"NO DAMAGE",0,5.35714285714286,3.77977373766581,4.1203479942001,2.41157556270096,3.2258064516129,3.16132979808281,3.42465753424658,1.91387559808612,6.82148040638607,6.23501199040767,5.49738219895288
"SUPERFICIAL",13.3333333333333,25.8928571428571,27.0059999277117,25.8156114064766,17.3633440514469,19.941348973607,23.307158882317,23.2876712328767,26.3157894736842,26.0522496371553,44.6043165467626,24.6073298429319
"FUNCTIONAL",33.3333333333333,24.1071428571429,27.1352152383706,28.7095215079749,26.8488745980707,24.9266862170088,27.0242708545788,28.7671232876712,28.7081339712919,29.3904208998549,28.537170263789,26.9633507853403
"DISABLING",40,39.2857142857143,37.4299707232443,37.1495891735138,45.6591639871383,47.2140762463343,41.8621252294514,39.7260273972603,40.1913875598086,34.6153846153846,17.2661870503597,38.2198952879581
"DESTROYED",13.3333333333333,5.35714285714286,4.64904037300755,4.2049299178347,7.71704180064309,4.69208211143695,4.64511523557006,4.79452054794521,2.87081339712919,3.12046444121916,3.35731414868106,4.71204188481675
